music,T1,T2,T3,M1,M2,M3
MT0003900455.mp3,1,1,2,5,5,5
MT0009897495.mp3,2,1,1,2,3,1
MT0000203193.mp3,1,2,1,2,3,1
MT0000901959.mp3,1,1,1,4,5,3
MT0009521580.mp3,1,1,1,3,3,2
MT0013955066.mp3,2,3,2,4,3,2
MT0000888329.mp3,3,2,2,4,4,2
MT0004428604.mp3,1,1,1,2,2,1
MT0018651126.mp3,1,1,1,1,1,1
MT0009346128.mp3,1,1,1,2,1,1
MT0002379222.mp3,1,1,1,1,1,1
MT0034186195.mp3,2,1,1,1,1,1
MT0017667847.mp3,1,1,1,1,1,1
MT0000218346.mp3,1,1,1,1,1,1
MT0000040632.mp3,4,4,3,1,1,1
MT0002634024.mp3,2,2,1,1,2,1
MT0012331779.mp3,5,5,5,2,2,1
MT0001703346.mp3,1,1,1,1,2,1
MT0027835071.mp3,2,1,1,3,1,1
MT0009991160.mp3,2,1,1,2,2,1
