music,T1,T2,T3,M1,M2,M3
MT0009010830.mp3,2,3,2,2,1,1
MT0003778826.mp3,2,3,1,5,4,3
MT0015005100.mp3,4,4,5,2,1,2
MT0028627699.mp3,5,3,5,5,4,4
MT0012124855.mp3,1,1,1,1,1,1
MT0027035970.mp3,5,4,5,1,1,1
MT0000044741.mp3,5,5,5,4,1,1
MT0003794106.mp3,2,2,1,5,3,1
MT0005478759.mp3,1,1,1,1,1,1
MT0002262181.mp3,3,1,1,1,1,1
MT0031996897.mp3,1,1,1,1,1,1
MT0000992846.mp3,1,1,1,1,1,1
MT0001376988.mp3,2,1,1,3,2,1
MT0009208842.mp3,1,1,1,1,1,1
MT0010465830.mp3,4,3,3,1,1,1
MT0005737276.mp3,4,3,5,1,1,1
MT0018031959.mp3,1,1,1,2,1,1
MT0033958450.mp3,5,1,3,5,4,2
MT0008222676.mp3,1,1,2,4,3,3
MT0012041920.mp3,2,1,1,1,1,1
